gene,logFC,P.Value
1317,-1.177396667,0.003128457
221091,1.836066667,0.00314107
1508,-1.608528333,0.003160184
10549,-1.147346667,0.003162995
5980,1.092253333,0.00322414
129285,0.906536667,0.003235915
6001,-1.259138333,0.003242744
6039,-1.81844,0.003243068
112812,-1.049851667,0.003251381
118932,-1.418385,0.003251448
101927870,1.925956667,0.003252432
9162,-0.67506,0.003283308
83752 /// 100507577,1.215613333,0.003295234
51248,-1.127756667,0.003306163
85014,-0.76552,0.00330702
84080,0.60343,0.003335105
28954,0.770153333,0.003341252
84987,-0.86843,0.003347309
5034,-0.963325,0.003360601
1340,-1.129246667,0.003383565
100302692,1.171053333,0.00339269
81552,-1.027976667,0.003399431
54902,0.860521667,0.00341045
80243,1.739488333,0.003417556
84433,-0.9489,0.003422055
27166,-0.965416667,0.003435293
221400,1.663101667,0.003436805
10180,0.616595,0.003469252
124944 /// 100529209,-1.37,0.003472367
473,0.751891667,0.003499898
10066,-0.542868333,0.003509349
65263,-0.56251,0.003534006
119016 /// 119385 /// 399761 /// 414224 /// 642517 /// 728127 /// 729092 /// 101060581,0.822403333,0.003545513
56999,1.831036667,0.003555732
4973,-1.873253333,0.003560367
3653 /// 91380 /// 347746 /// 100033416 /// 100033433 /// 100033444 /// 100033450 /// 100033802 /// 100033820 /// 101930404,1.342236667,0.003574419
90203,0.926271667,0.003591438
57653 /// 100499483,0.704471667,0.003602805
55655,-0.946223333,0.003607653
1717,-0.673973333,0.003612045
3953,0.97007,0.003627059
4541,1.461706667,0.003629616
51176,-1.580435,0.003639359
25960,0.811981667,0.003641885
10397,0.654096667,0.003659108
1234,-1.421821667,0.003666626
55607,1.68944,0.003679665
5187 /// 102465532,1.624731667,0.0037163
2495,-0.634195,0.00372975
93986,1.318746667,0.003734412
4170,0.624245,0.003735517
65055,2.11599,0.003736311
359948,0.809556667,0.003744737
10389,0.65119,0.003746187
9912,0.953686667,0.003764518
84898,-1.575863333,0.003773124
8425,1.285553333,0.003776917
399665,-0.770056667,0.003793096
55384,2.251198333,0.003796378
5296 /// 10437,-2.308863333,0.003800472
2872,1.056455,0.003810424
654342,1.93114,0.003831399
9263,-1.979378333,0.003860225
5136,1.202328333,0.003862155
101927482,-1.032591667,0.003863501
6818 /// 445329 /// 100526830 /// 100526831 /// 101929857,0.684051667,0.00386865
55848,-0.884048333,0.003913256
129607,-1.902856667,0.003921228
10044,1.285241667,0.003925396
27332 /// 100507113,0.835836667,0.003943645
203197,-0.838035,0.003960141
8481,0.579046667,0.003967966
6659,-1.01414,0.003980721
161582,-0.942673333,0.003983361
3956,-1.333958333,0.003989147
3234,1.2951,0.004006865
2145,0.637295,0.004018131
9592,0.811413333,0.004025572
51747,0.534541667,0.004026814
